id,headline,source_type,topic,sentiment_score,evidence_count,contradiction_score,editorial_flag,leak_indicator,propaganda_pattern_score,source_reliability,truth_probability
1,Exclusive Report: Vaccine Data Discrepancies,state_media,health,0.2,4,0.23,True,False,0.42,0.67,0.88
2,Scandal Surge in Cases Raises Alarm,state_media,health,-0.19,6,0.23,False,False,0.07,1.0,1.0
3,Update Report: Actor Faces Allegations,state_media,celebrity,-0.36,2,0.51,True,False,0.18,0.67,0.81
4,Insider Demonstrations Under Review,independent,protest,-0.24,4,0.09,False,False,0.54,0.61,0.85
5,Exclusive Audit Reveals Missing Funds,foreign_press,economy,-0.53,5,0.36,False,True,0.27,0.8,1.0
6,Breaking Briefing: Border Operations Escalate,foreign_press,military,-0.18,7,0.54,True,False,0.13,0.95,1.0
7,Update Interview Sparks Debate,anonymous_tip,celebrity,0.41,6,0.17,True,False,0.21,1.0,1.0
8,Insider Report: Actor Faces Allegations,anonymous_tip,celebrity,0.33,7,0.18,False,False,0.2,1.0,1.0
9,Breaking Demonstrations Under Review,foreign_press,protest,-1.0,6,0.31,False,False,0.2,0.94,1.0
10,Breaking Report: Vaccine Data Discrepancies,state_media,health,-0.32,3,0.37,True,False,0.2,0.76,0.91
11,Breaking Memo Exposes Policy Rift,state_media,politics,-0.28,4,0.36,False,False,0.29,0.73,0.92
12,Scandal Briefing: Border Operations Escalate,foreign_press,military,-0.14,3,0.21,False,False,0.31,0.74,0.9
13,Update Demonstrations Under Review,independent,protest,-0.77,4,0.12,True,False,0.21,0.93,1.0
14,Exclusive Report: Vaccine Data Discrepancies,foreign_press,health,0.46,6,0.5,False,False,0.19,0.87,1.0
15,Update Footage Questions Official Claims,anonymous_tip,military,-0.4,3,0.33,False,False,0.07,0.92,1.0
16,Insider Memo Exposes Policy Rift,anonymous_tip,politics,-0.37,8,0.17,False,False,0.54,0.77,1.0
17,Breaking Footage Questions Official Claims,independent,military,-0.64,5,0.24,False,False,0.31,0.82,1.0
18,Exclusive March Footage Removed Online,anonymous_tip,protest,-0.27,5,0.39,False,False,0.48,0.57,0.84
19,Exclusive Interview Sparks Debate,state_media,celebrity,-0.39,6,0.54,False,False,0.23,0.8,1.0
20,Insider March Footage Removed Online,state_media,protest,-0.36,3,0.22,False,False,0.16,0.87,1.0
21,Update March Footage Removed Online,state_media,protest,0.25,3,0.1,False,False,0.18,0.92,1.0
22,Insider Report: Vaccine Data Discrepancies,foreign_press,health,0.19,4,0.27,True,False,0.44,0.62,0.85
23,Update Report: Vaccine Data Discrepancies,foreign_press,health,-0.35,5,0.4,False,False,0.32,0.73,0.95
24,Exclusive Report: Vaccine Data Discrepancies,foreign_press,health,0.21,6,0.11,False,False,0.34,0.9,1.0
25,Update Briefing: Border Operations Escalate,independent,military,-0.31,4,0.19,False,False,0.58,0.53,0.79
26,Breaking March Footage Removed Online,foreign_press,protest,-0.19,7,0.39,False,False,0.15,1.0,1.0
27,Scandal Memo Exposes Policy Rift,state_media,politics,0.86,6,0.03,False,False,0.16,1.0,1.0
28,Update Report: Vaccine Data Discrepancies,anonymous_tip,health,0.2,6,0.12,False,False,0.48,0.76,1.0
29,Update Statement Raises Concerns,anonymous_tip,politics,0.85,7,0.09,False,False,0.26,1.0,1.0
30,Breaking Statement Raises Concerns,independent,politics,-1.0,2,0.36,False,False,0.19,0.73,0.86
31,Breaking Demonstrations Under Review,anonymous_tip,protest,0.47,5,0.11,True,False,0.31,0.88,1.0
32,Scandal Demonstrations Under Review,independent,protest,0.63,2,0.04,False,True,0.22,0.86,0.97
33,Exclusive Interview Sparks Debate,state_media,celebrity,0.34,6,0.39,False,True,0.29,0.81,1.0
34,Update Surge in Cases Raises Alarm,anonymous_tip,health,0.24,1,0.08,False,False,0.18,0.83,0.91
