id,headline,source_type,topic,sentiment_score,evidence_count,contradiction_score,editorial_flag,leak_indicator,propaganda_pattern_score,source_reliability,truth_probability
1,A beloved celebrity faces serious allegations that have sent shockwaves through the entertainment world. The story is dominating headlines across all major outlets.,state_media,health,0.2,4,0.23,True,False,0.42,0.67,0.88
2,The celebrity's public statement contains a 4-hour gap that doesn't match their claimed schedule. Studio logs show conflicting information.,state_media,health,-0.19,6,0.23,False,False,0.07,1.0,1.0
3,The celebrity's studio has released a carefully worded statement denying all allegations. Multiple outlets received identical wording simultaneously.,state_media,celebrity,-0.36,2,0.51,True,False,0.18,0.67,0.81
4,Scheduled coverage of downtown protests was pulled without explanation. The slot was filled with celebrity scandal updates instead.,independent,protest,-0.24,4,0.09,False,False,0.54,0.61,0.85
5,"A critical report on worsening supply shortages in three regions was moved to page 8, while celebrity news fills the front page.",foreign_press,economy,-0.53,5,0.36,False,True,0.27,0.8,1.0
6,Key evidence mentioned in initial reports is now missing. Witness statements and security logs referenced earlier cannot be located.,foreign_press,military,-0.18,7,0.54,True,False,0.13,0.95,1.0
7,An exclusive interview with the celebrity was scheduled with only 2 hours notice. The interview was pre-recorded but presented as live.,anonymous_tip,celebrity,0.41,6,0.17,True,False,0.21,1.0,1.0
8,A fully fact-checked article about the celebrity scandal was modified overnight. Key contradictions and timeline issues were removed.,anonymous_tip,celebrity,0.33,7,0.18,False,False,0.2,1.0,1.0
9,"Analytics show the celebrity story has suspicious engagement patterns. Views spike at exact intervals, suggesting manipulation.",foreign_press,protest,-1.0,6,0.31,False,False,0.2,0.94,1.0
10,The studio's latest statement contradicts what they told us yesterday. They now deny having GPS records they previously confirmed existed.,state_media,health,-0.32,3,0.37,True,False,0.2,0.76,0.91
11,Three witness statements about the celebrity's whereabouts contain conflicting times. None align with the studio's official timeline.,state_media,politics,-0.28,4,0.36,False,False,0.29,0.73,0.92
12,The studio has provided documentation proving the celebrity was at a charity event during the alleged incident. Multiple sources confirm attendance.,foreign_press,military,-0.14,3,0.21,False,False,0.31,0.74,0.9
13,Protest organizers claim major outlets are ignoring their event. They've documented multiple requests for coverage that went unanswered.,independent,protest,-0.77,4,0.12,True,False,0.21,0.93,1.0
14,Supply shortages have reached critical levels in five regions. Local officials are requesting emergency assistance but receiving no response.,foreign_press,health,0.46,6,0.5,False,False,0.19,0.87,1.0
15,Several newsrooms received identical talking points about the celebrity scandal from different PR firms. The wording matches exactly.,anonymous_tip,military,-0.4,3,0.33,False,False,0.07,0.92,1.0
16,The security footage provided by the studio shows timestamps that don't match the building's clock system. The discrepancy is exactly 3 hours.,anonymous_tip,politics,-0.37,8,0.17,False,False,0.54,0.77,1.0
17,The celebrity has a long history of charity work and community service. Multiple organizations have vouched for their character.,independent,military,-0.64,5,0.24,False,False,0.31,0.82,1.0
18,Notes from yesterday's editorial meeting show management pushing for 'positive celebrity coverage' and 'reduced focus on negative stories'.,anonymous_tip,protest,-0.27,5,0.39,False,False,0.48,0.57,0.84
